City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
170,saint-philippe,-21.3585,55.7679,26.77,86,58,4.99,RE,2023-04-01 15:48:41
171,cockburn town,21.4612,-71.1419,26.98,74,20,5.14,TC,2023-04-01 15:48:41
172,cherskiy,68.75,161.3,-32.35,100,98,1.06,RU,2023-04-01 15:48:41
173,husavik,66.0449,-17.3389,2.34,99,98,0.96,IS,2023-04-01 15:48:41
174,shenjiamen,29.9576,122.298,11.69,75,0,1.57,CN,2023-04-01 15:48:42
175,kloulklubed,7.0419,134.2556,25.28,68,99,0.5,PW,2023-04-01 15:48:42
176,hofn,64.2539,-15.2082,5.57,73,2,3.88,IS,2023-04-01 15:48:42
177,pochutla,15.7432,-96.4661,31.57,42,13,2.21,MX,2023-04-01 15:48:42
178,marystown,47.1666,-55.1483,2.24,66,79,6.57,CA,2023-04-01 15:48:43
179,nalut,30.3333,10.85,28.25,8,0,4.06,LY,2023-04-01 15:48:43
180,murashi,59.3999,48.9615,-0.42,94,78,2.33,RU,2023-04-01 15:48:43
181,athabasca,54.7169,-113.2854,-1.84,92,100,2.46,CA,2023-04-01 15:45:18
182,loa janan,-0.583,117.095,23.46,92,100,0.6,ID,2023-04-01 15:48:43
183,byron bay,-28.65,153.6167,15.95,84,6,1.88,AU,2023-04-01 15:48:44
184,puerto del rosario,28.5004,-13.8627,21.86,68,0,9.26,ES,2023-04-01 15:48:45
185,dingle,10.9995,122.6711,25.01,84,71,2.37,PH,2023-04-01 15:48:45
186,tuatapere,-46.1333,167.6833,11.71,94,68,5.21,NZ,2023-04-01 15:48:45
187,coahuayana,18.7333,-103.6833,30.69,23,45,1.35,MX,2023-04-01 15:48:45
188,chuy,-33.6971,-53.4616,21.68,47,27,6.21,UY,2023-04-01 15:48:45
189,comodoro rivadavia,-45.8667,-67.5,22.92,28,0,14.4,AR,2023-04-01 15:48:45
190,san jeronimo,-11.9472,-75.2829,9.05,91,100,1.62,PE,2023-04-01 15:48:46
191,trelew,-43.249,-65.3051,25.47,23,65,11.68,AR,2023-04-01 15:48:46
192,otane,-39.8833,176.6333,18.89,92,100,1.07,NZ,2023-04-01 15:48:46
193,airai,-8.9266,125.4092,16.1,96,100,0.42,TL,2023-04-01 15:48:46
194,sibolga,1.7427,98.7792,24.54,91,100,1.9,ID,2023-04-01 15:48:47
195,novyy urengoy,66.0833,76.6333,0.62,91,100,10.45,RU,2023-04-01 15:47:34
196,labuhan,-6.8844,112.2051,24.95,85,100,3.89,ID,2023-04-01 15:48:47
197,esperance,-33.8667,121.9,18.48,78,99,4.99,AU,2023-04-01 15:48:47
198,synya,65.3718,58.0387,0.8,98,100,5.05,RU,2023-04-01 15:48:47
199,chabahar,25.2919,60.643,25.32,68,0,4.1,IR,2023-04-01 15:48:48
200,atasu,48.6814,71.6433,-1.54,60,0,7.25,KZ,2023-04-01 15:48:48
201,emerald,-23.5333,148.1667,21.3,67,73,2.89,AU,2023-04-01 15:48:48
202,ust-kulom,61.6864,53.6902,1.61,94,100,4.41,RU,2023-04-01 15:48:48
203,lethem,3.3803,-59.7968,34.96,32,69,5.52,GY,2023-04-01 15:48:48
204,grand-santi,4.25,-54.3833,31.65,44,100,1.97,GF,2023-04-01 15:48:49
205,fortuna,40.5982,-124.1573,10.37,84,100,4.47,US,2023-04-01 15:48:49
206,de-kastri,51.4667,140.7833,-2.61,99,35,1.72,RU,2023-04-01 15:48:49
207,birjand,32.8663,59.2211,19.26,19,20,2.06,IR,2023-04-01 15:48:49
208,dahra,36.2546,0.8519,18.04,52,100,2.18,DZ,2023-04-01 15:48:49
